Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
b83fc652-125f-45e6-91ae-283d2b63cd15,2023-10-05 21:37:32,Running,,4.01,23:17,5:48,10.34,346.0,97,,"","",2023-10-05-213732.gpx
ca4104ba-3ae0-4c41-ac66-528241fb0dfa,2023-10-03 09:59:34,Hiking,,4.33,1:47:46,24:55,2.41,433.0,147,,"","",2023-10-03-095934.gpx
6a32f063-313f-4a83-b78c-92c0bf81169a,2023-10-02 22:10:15,Running,,3.01,16:50,5:36,10.72,273.0,83,,"","",2023-10-02-221015.gpx
e55a1eb9-e096-4919-aa2c-23c8f0485e63,2023-09-30 19:07:30,Running,,3.02,15:58,5:18,11.33,270.0,82,,"","",2023-09-30-190730.gpx
97d013da-b55d-4a79-ac91-92d3d82c4721,2023-09-24 21:09:27,Cycling,,28.49,1:17:27,2:43,22.07,723.0,321,,"","",2023-09-24-210927.gpx
e8b0334a-be9a-4a35-824a-86fc0743f9af,2023-09-23 09:56:59,Running,,3.01,16:26,5:28,10.99,274.0,85,,"","",2023-09-23-095659.gpx
7d69ffe0-f5df-4cd6-9fe2-842fb3d7c3e0,2023-09-19 22:57:27,Running,,3.02,20:16,6:43,8.92,255.0,83,,"","",2023-09-19-225727.gpx
aa1a26a5-7bcb-4db7-9abd-670bc99fcd33,2023-09-18 22:06:56,Running,,3.01,17:21,5:46,10.40,252.0,68,,"","",2023-09-18-220656.gpx
47e73a0e-b61c-4496-8f2c-602e5365b961,2023-09-15 19:25:15,Running,,3.02,17:06,5:40,10.59,276.0,88,,"","",2023-09-15-192515.gpx
f47d0f51-9a1b-4898-a0c8-be2d00338c0f,2023-09-12 22:28:46,Running,,1.01,6:47,6:43,8.94,83.0,21,,"","",2023-09-12-222846.gpx
5ff9189b-15a7-49c2-a65d-7c564155327e,2023-09-05 22:01:42,Running,,3.01,16:25,5:27,11.01,273.0,85,,"","",2023-09-05-220142.gpx
74db336e-8d8a-46f1-b556-ffbb86cdb54a,2023-09-01 21:21:08,Running,,3.02,18:16,6:03,9.92,264.0,76,,"","",2023-09-01-212108.gpx
23b4e68f-0875-44ce-9c8f-a2954e2ba7df,2023-08-29 21:12:13,Running,,3.06,17:55,5:52,10.23,277.0,85,,"","",2023-08-29-211213.gpx
bc2d0cd9-cd79-452f-9b34-557c81087f27,2023-08-20 22:07:23,Cycling,,28.54,1:27:50,3:05,19.49,791.0,318,,"","",2023-08-20-220723.gpx
8793a292-1a23-409f-87b4-c9f0896174cb,2023-08-06 22:08:54,Cycling,,28.76,1:36:34,3:22,17.87,841.0,356,,"","",2023-08-06-220854.gpx
88f8ac78-a825-4d73-a565-528c80edea49,2023-07-24 14:05:41,Running,,0.38,1:51,4:54,12.23,26.0,7,,"","",2023-07-24-140541.gpx
b9a44f00-b6c5-4aa5-8f96-15bbb717a6b7,2023-07-20 22:15:21,Running,,1.13,7:31,6:41,8.98,95.0,25,,"","",2023-07-20-221521.gpx
7d872728-1fd4-4735-94ec-fb36dc6b75ac,2023-07-17 22:11:58,Running,,3.01,17:59,5:58,10.05,263.0,74,,"","",2023-07-17-221158.gpx
c53b2215-f119-4e78-8c2c-59f030b23b26,2023-07-15 21:52:23,Running,,5.02,30:45,6:08,9.78,433.0,122,,"","",2023-07-15-215223.gpx
280c0b1b-abc8-4b22-a205-1aacc1a74496,2023-07-13 22:12:06,Running,,3.02,16:04,5:19,11.28,267.0,86,,"","",2023-07-13-221206.gpx
4a6ba87e-ca95-4f54-86af-094216c28790,2023-07-11 21:36:08,Running,,3.02,16:13,5:23,11.15,276.0,87,,"","",2023-07-11-213608.gpx
6361513f-a519-4760-a6b0-6bcfb47d93c9,2023-07-10 22:19:43,Running,,3.02,15:47,5:14,11.47,251.0,73,,"","",2023-07-10-221943.gpx
f80ac61d-5283-4da9-8183-2a1446eed90d,2023-07-08 22:17:17,Running,,3.08,16:55,5:30,10.91,281.0,90,,"","",2023-07-08-221717.gpx
ccfc83d4-d3b8-41c0-adb4-a96c8805878e,2023-07-06 21:52:49,Running,,3.01,18:20,6:05,9.86,265.0,81,,"","",2023-07-06-215249.gpx
3597873a-a904-423d-9bbd-8acd91c6fc78,2023-07-06 21:51:45,Running,,0.28,0:44,2:43,22.10,13.0,4,,"","",2023-07-06-215145.gpx
8126f28a-be6c-43fc-bedf-14bddf460a2f,2023-07-05 22:20:24,Running,,3.33,18:19,5:30,10.91,297.0,88,,"","",2023-07-05-222024.gpx
020dac84-2a9c-4c5d-bed2-3ea3468ab192,2023-07-02 22:19:10,Running,,3.01,16:10,5:22,11.18,275.0,90,,"","",2023-07-02-221910.gpx
7751b955-8ad4-416c-85d1-35169af3f2a6,2023-06-30 21:43:36,Running,,0.26,1:59,7:37,7.87,20.0,3,,"","",2023-06-30-214336.gpx
3a32d3b4-ed52-45f7-ba51-f48f1a937c04,2023-06-30 21:15:41,Running,,3.03,16:28,5:26,11.03,262.0,83,,"","",2023-06-30-211541.gpx
e4cfc239-ac81-4ff1-9856-e3b36ca99032,2023-06-28 17:16:28,Running,,3.01,17:34,5:50,10.28,266.0,84,,"","",2023-06-28-171628.gpx
019c1c63-c01d-4572-bb87-7089c417dbcc,2023-06-25 00:00:52,Running,,3.02,18:50,6:15,9.61,262.0,76,,"","",2023-06-25-000052.gpx
5b110515-5d6d-46e2-8a31-12be19df2e94,2023-06-22 21:55:24,Running,,1.01,5:26,5:24,11.11,86.0,26,,"","",2023-06-22-215524.gpx
f2a3225f-ede9-4972-9b66-94e0eccfe2fc,2023-06-22 21:34:16,Running,,2.57,13:43,5:20,11.25,231.0,68,,"","",2023-06-22-213416.gpx
e0d88382-6b5b-4a28-9f17-77bcbc0b3299,2023-06-14 20:27:35,Running,,3.03,17:54,5:55,10.14,264.0,75,,"","",2023-06-14-202735.gpx
644e587c-989c-478e-946f-0e7559bef798,2023-05-19 21:38:09,Running,,2.94,19:08,6:30,9.23,247.0,71,,"","",2023-05-19-213809.gpx
2422d5b9-6ffe-4924-80a5-cac040125ed0,2023-05-14 21:15:33,Cycling,,31.33,1:33:15,2:59,20.15,912.0,432,,"","",2023-05-14-211533.gpx
d40d941b-9957-4c5e-91a6-841458285e01,2023-05-13 10:50:52,Running,,1.02,4:23,4:18,13.95,80.0,21,,"","",2023-05-13-105052.gpx
b2da85ec-900c-49cc-a57e-be3c0ec65c5d,2023-05-11 10:20:59,Cycling,,4.80,24:56,5:12,11.54,163.0,102,,"","",2023-05-11-102059.gpx
3a2ce8b4-c3c0-4636-afaa-57c798b8bc71,2023-05-10 21:41:21,Running,,2.04,10:58,5:23,11.13,179.0,47,,"","",2023-05-10-214121.gpx
7e0ec9a8-bed1-4653-a980-52b0a0119df3,2023-04-17 23:01:59,Running,,1.01,4:49,4:47,12.56,89.0,24,,"","",2023-04-17-230159.gpx
7cd33682-1dca-4bbd-8dce-68df9e470a21,2023-04-14 23:37:08,Running,,1.02,4:25,4:22,13.76,90.0,26,,"","",2023-04-14-233708.gpx
1b8d359d-0d7f-4635-b19c-30ee2d452f29,2023-04-14 23:28:42,Running,,1.27,7:31,5:55,10.15,112.0,35,,"","",2023-04-14-232842.gpx
c6c7cb78-ee7c-498d-a40e-f47a44960c63,2023-03-26 15:15:58,Running,,2.03,17:23,8:35,7.00,134.0,23,,"","",2023-03-26-151558.gpx
501d6510-694b-478d-a632-742e130ab59c,2023-03-23 22:51:59,Running,,1.02,5:49,5:43,10.50,82.0,28,,"","",2023-03-23-225159.gpx
6b6f2998-9b5f-464b-a44d-1c587814bcfa,2023-03-20 22:50:43,Running,,3.02,16:48,5:34,10.79,255.0,84,,"","",2023-03-20-225043.gpx
1cb96488-97d8-49e3-9b7c-9e69263fb8ac,2023-02-20 21:45:21,Running,,3.04,17:49,5:52,10.22,249.0,85,,"","",2023-02-20-214521.gpx
90376079-7d85-4868-8690-30fe91dff979,2023-02-07 17:02:07,Cycling,,28.67,1:32:41,3:14,18.56,755.0,374,,"","",2023-02-07-170207.gpx
348ee9ba-ab6e-400a-a828-e98cbefca38e,2023-02-02 17:32:09,Cycling,,21.81,1:16:34,3:31,17.08,601.0,302,,"","",2023-02-02-173209.gpx
9873bf6b-d195-4d96-a61a-d06c5090a855,2022-12-11 21:22:54,Running,,0.35,1:18,3:46,15.93,29.0,11,,"","",2022-12-11-212254.gpx
1e723717-d3eb-4fb0-b9e7-9ffafdc9348e,2022-12-11 21:00:25,Running,,3.04,16:58,5:35,10.76,243.0,79,,"","",2022-12-11-210025.gpx
